url,text,likes_cnt,reposts_cnt,comments_cnt
https://www.linkedin.com/in/vera-katasonova,Jigar Sahu is #hiring. Know anyone who might be interested?,1,0,0
https://www.linkedin.com/in/nikita-dmitriev-11916623b,"Hi everyone - I am looking for a new role and would appreciate your support. I recently moved to the USA, I live in Los Angeles. Thank you in advance for any connections, advice, or opportunities you can offer.#OpenToWork",2,0,0
https://www.linkedin.com/in/nikita-dmitriev-11916623b,"Всем доброго времени суток! Я - крутой специалист по Data Science, многие крупные компании дерутся за то, чтобы я у них работал, у меня недвижимость в шести штатах, живу в в уютном доме с видом на океан.Это - моё будущее. Сейчас мне нужно сделать к нему первый шаг, и я прошу вас мне в этом помочь. Лайк, репост - и возможно Вы или кто-то из Ваших контактов однажды расскажет, как принимал топового специалиста на его первую работуСейчас я студент Яндекс.Практикум, смотрю, читаю, практикуюсь, уже есть пара самостоятельных проектов(а пока висит этот пост, может уже и целое портфолио). Уже умею работать с pandas, понимаю, что такое нормальное распределение и чем оно отличается от распределения Пуассона, могу сделать предобработку данных и сравнительный анализ на основе корреляции величин. У меня есть базовые знания Python, и сейчас продолжаю его изучать. Всё свободное время я уделяю самообучению, отлично понимаю, что для достижения успеха нужно усердно работать, и в этом мне не откажешь. Я уже сегодня готов с головой окунуться в проект и принести реальную пользу компании Хочу, чтобы мы были друг другу полезны. Спасибо за внимание!P.S. Пробел перед скобкой отсутствует, потому что я соблюдаю PEP8#junior #intern #datascientist #python",39,2 reposts,3 comments
https://www.linkedin.com/in/nikita-dmitriev-11916623b,"Ищу работу Data Scientist(без опыта, рассмотрю стажёрскую позицию) с возможностью работать удалённо. Лайки и репосты приветствуются, может среди ваших контактов есть именно тот HR, которому позарез не хватает стажёра в этой областиI am looking for a Data Scientist job (no experience, I will consider an internship position) with the ability to work remotely. Likes and reposts are welcome, maybe among your contacts there is exactly the HR who desperately lacks an intern in this area#data_science #python #hr #relocate #lookingforjob #openforwork",15,3 reposts,0
https://www.linkedin.com/in/nikita-dmitriev-11916623b,"Здравствуйте, я в поиске новой карьерной возможности и буду признателен за вашу поддержку. Заранее благодарю за все рекомендации контактов, советы или возможности, которые вы можете предложить. #OpenToWork",1,0,0
https://www.linkedin.com/in/nikita-dmitriev-11916623b,"С удовольствием сообщаю, что я начинаю работу в новой должности – Data Scientist в компании Яндекс Практикум!",2,0,0
https://www.linkedin.com/in/aiyumrin,"Где искать работу помимо работных сайтов?Помимо работных сайтов, существуют и другие способы поиска работы. Вот несколько советов, как можно искать работу:1. Использование соцсетей: многие работодатели добавляют свои вакансии на свои профили в социальных сетях, таких как LinkedIn и Facebook. Используйте поиск вакансий на этих платформах.2. Связывайтесь с профессиональными организациями: в большинстве отраслей есть профессиональные сообщества и организации, которые могут помочь в поиске работы. Посетите их сайты, узнайте о событиях, форумах и мероприятиях, где можно встретить работодателей.3. Попросите рекомендацию: свяжитесь со своими друзьями и коллегами, чтобы узнать, есть ли у них знакомые, которые могут помочь найти работу.4. Смотрите на сайтах компаний: многие компании публикуют вакансии на своих сайтах, проверьте сайты компаний, которые вас интересуют.5. Посетите ярмарки вакансий: ярмарки вакансий - это место, где представители компаний встречаются с потенциальными кандидатами. Найдите ближайшую ярмарку вакансий и посетите ее.6. Попробуйте найти работу в проектной сфере: если вы являетесь фрилансером или входите в сферу проектной работы, попробуйте найти работу через краудсорсинг-платформы, например такие как Upwork и Freelancer.Не забывайте, что поиск работы может быть процессом, который занимает много времени и усилий, поэтому не бойтесь пробовать разные пути поиска.",0,0,1 comment
https://www.linkedin.com/in/aiyumrin,"Где искать работу помимо работных сайтов?Помимо работных сайтов, существуют и другие способы поиска работы. Вот несколько советов, как можно искать работу:1. Использование соцсетей: многие работодатели добавляют свои вакансии на свои профили в социальных сетях, таких как LinkedIn и Facebook. Используйте поиск вакансий на этих платформах.2. Связывайтесь с профессиональными организациями: в большинстве отраслей есть профессиональные сообщества и организации, которые могут помочь в поиске работы. Посетите их сайты, узнайте о событиях, форумах и мероприятиях, где можно встретить работодателей.3. Попросите рекомендацию: свяжитесь со своими друзьями и коллегами, чтобы узнать, есть ли у них знакомые, которые могут помочь найти работу.4. Смотрите на сайтах компаний: многие компании публикуют вакансии на своих сайтах, проверьте сайты компаний, которые вас интересуют.5. Посетите ярмарки вакансий: ярмарки вакансий - это место, где представители компаний встречаются с потенциальными кандидатами. Найдите ближайшую ярмарку вакансий и посетите ее.6. Попробуйте найти работу в проектной сфере: если вы являетесь фрилансером или входите в сферу проектной работы, попробуйте найти работу через краудсорсинг-платформы, например такие как Upwork и Freelancer.Не забывайте, что поиск работы может быть процессом, который занимает много времени и усилий, поэтому не бойтесь пробовать разные пути поиска.",14,3 reposts,0
https://www.linkedin.com/in/aiyumrin,Всем привет!,0,0,1 comment
https://www.linkedin.com/in/aiyumrin,"Где искать работу помимо работных сайтов?Помимо работных сайтов, существуют и другие способы поиска работы. Вот несколько советов, как можно искать работу:1. Использование соцсетей: многие работодатели добавляют свои вакансии на свои профили в социальных сетях, таких как LinkedIn и Facebook. Используйте поиск вакансий на этих платформах.2. Связывайтесь с профессиональными организациями: в большинстве отраслей есть профессиональные сообщества и организации, которые могут помочь в поиске работы. Посетите их сайты, узнайте о событиях, форумах и мероприятиях, где можно встретить работодателей.3. Попросите рекомендацию: свяжитесь со своими друзьями и коллегами, чтобы узнать, есть ли у них знакомые, которые могут помочь найти работу.4. Смотрите на сайтах компаний: многие компании публикуют вакансии на своих сайтах, проверьте сайты компаний, которые вас интересуют.5. Посетите ярмарки вакансий: ярмарки вакансий - это место, где представители компаний встречаются с потенциальными кандидатами. Найдите ближайшую ярмарку вакансий и посетите ее.6. Попробуйте найти работу в проектной сфере: если вы являетесь фрилансером или входите в сферу проектной работы, попробуйте найти работу через краудсорсинг-платформы, например такие как Upwork и Freelancer.Не забывайте, что поиск работы может быть процессом, который занимает много времени и усилий, поэтому не бойтесь пробовать разные пути поиска.",0,0,0
